F1,R1,R2,RL,F1_2,R1_2,R2_2,RL_2,labels
0.32,0.5954198473282443,0.34108527131782945,0.35114503816793896,0.48780487804878053,0.6301369863013698,0.5070422535211268,0.410958904109589,1
0.37500000000000006,0.6534653465346535,0.2828282828282829,0.4554455445544554,0.24390243902439024,0.3125,0.16129032258064518,0.25,1
0.42307692307692313,0.6463414634146342,0.3950617283950618,0.5365853658536586,0.5294117647058824,0.6415094339622641,0.4807692307692308,0.5660377358490566,1
0.42857142857142855,0.6176470588235294,0.3939393939393939,0.5294117647058824,0.28571428571428575,0.5357142857142858,0.3333333333333333,0.42857142857142866,0
0.8474576271186439,0.8936170212765958,0.7391304347826086,0.8510638297872342,0.2325581395348837,0.4411764705882353,0.18181818181818182,0.29411764705882354,1
0.2162162162162162,0.4482758620689656,0.1754385964912281,0.2931034482758621,0.4444444444444445,0.6608695652173913,0.4778761061946903,0.5739130434782609,0
0.13333333333333333,0.5360824742268041,0.1473684210526316,0.30927835051546393,0.391304347826087,0.6666666666666667,0.4736842105263158,0.46153846153846156,1
0.5569620253164557,0.6956521739130435,0.4778761061946903,0.5391304347826087,0.4150943396226416,0.5526315789473685,0.43243243243243246,0.5,1
0.18750000000000003,0.5921052631578947,0.1733333333333333,0.2631578947368421,0.5074626865671642,0.6037735849056604,0.40384615384615385,0.4528301886792453,1
0.8085106382978723,0.8974358974358974,0.7894736842105262,0.8717948717948717,0.16216216216216214,0.4666666666666667,0.13793103448275862,0.3666666666666667,1
0.2764227642276423,0.66,0.29292929292929293,0.32,0.23728813559322035,0.21276595744680848,0.15217391304347824,0.21276595744680848,0
0.3809523809523809,0.5490196078431373,0.38,0.47058823529411764,0.33333333333333337,0.3409090909090909,0.3023255813953489,0.3409090909090909,1
0.30985915492957744,0.5892857142857143,0.21818181818181817,0.35714285714285715,0.2222222222222222,0.2962962962962963,0.1518987341772152,0.24691358024691357,0
0.6956521739130435,0.8533333333333333,0.6575342465753424,0.7733333333333333,0.3125,0.392156862745098,0.2448979591836735,0.392156862745098,1
0.6666666666666666,0.8732394366197184,0.6956521739130435,0.8450704225352113,0.19999999999999998,0.36000000000000004,0.16666666666666666,0.36000000000000004,0
0.4324324324324324,0.6949152542372881,0.3103448275862069,0.3389830508474576,0.2692307692307692,0.3950617283950617,0.17721518987341772,0.2469135802469136,0
0.11267605633802817,0.6126126126126126,0.14678899082568805,0.3063063063063063,0.20833333333333331,0.3684210526315789,0.08108108108108109,0.21052631578947364,0
0.17391304347826086,0.6078431372549019,0.14,0.33333333333333337,0.2545454545454545,0.5060240963855421,0.17283950617283952,0.3373493975903614,0
0.14634146341463414,0.5671641791044776,0.21538461538461537,0.38805970149253727,0.3870967741935484,0.6071428571428571,0.40740740740740733,0.5714285714285714,1
0.18867924528301885,0.6136363636363636,0.18604651162790697,0.38636363636363635,0.2857142857142857,0.33333333333333337,0.2608695652173913,0.33333333333333337,1
0.3508771929824561,0.6868686868686869,0.3711340206185567,0.4646464646464647,0.3529411764705882,0.43636363636363634,0.2641509433962264,0.4,1
0.27027027027027023,0.4745762711864407,0.2105263157894737,0.3728813559322034,0.33333333333333337,0.5789473684210527,0.3333333333333333,0.47368421052631576,1
